rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
114,21730,Collin Johnson,NYG,WR,11,105,0,27.3,26.1,9.2,193,16.1,18,21,1,0,5.6,5.2,1.0
115,20398,Equanimeous St. Brown,GB,WR,9,98,0,26.2,32.5,9.0,153,11.8,17,17,4,0,6.9,3.9,1.2
116,19705,Greg Ward,PHI,WR,7,95,3,21.9,21.1,8.3,91,5.3,13,11,6,6,8.4,2.4,3.1
117,20081,Trent Sherfield Sr.,SF,WR,9,87,1,17.3,23.3,8.1,161,9.5,18,20,4,1,6.1,4.3,1.2
118,22569,Dee Eskridge,SEA,WR,10,64,1,34.2,32.5,13.1,261,26.1,26,20,4,3,6.5,6.9,1.4
119,21115,Juwann Winfree,GB,WR,8,58,0,25.9,29.6,5.0,65,9.3,8,13,3,1,7.1,5.7,0.9
120,18197,Alex Erickson,CAR,WR,3,55,0,4.3,4.8,6.2,25,1.5,8,4,0,0,5.6,0.7,2.1
121,21556,Tom Kennedy,DET,WR,6,54,0,24.0,21.7,7.3,73,6.1,12,10,1,1,7.2,2.6,1.8
122,22591,Dez Fitzpatrick,TEN,WR,5,49,1,42.4,32.7,8.9,71,17.8,14,8,2,2,5.9,6.9,2.0
123,21383,Jody Fortson Jr.,KC,WR,5,47,2,10.7,12.8,7.6,38,6.3,8,5,2,1,9.0,2.2,4.3
124,22596,Jaelon Darden,TB,WR,6,43,0,13.8,13.6,13.1,157,17.4,26,12,0,0,5.4,3.2,0.9
125,22417,Kristian Wilkerson,NE,WR,4,42,2,34.5,35.1,16.9,135,45.0,34,8,2,2,7.5,10.0,2.5
126,19064,Trent Taylor,CIN,WR,2,41,0,16.1,13.1,13.3,40,10.0,20,3,1,0,7.5,2.2,2.0
127,16141,Willie Snead IV,CAR,WR,4,38,0,8.6,10.2,6.9,55,6.1,14,8,2,0,6.6,2.6,1.0
128,21138,Scotty Miller,TB,WR,5,38,0,24.1,22.1,7.0,63,7.0,13,9,0,0,5.3,2.3,2.1
129,21473,D.J. Montgomery,NYJ,WR,3,36,0,30.9,25.4,6.3,38,12.7,13,6,1,0,8.8,6.7,1.1
130,22608,Seth Williams,DEN,WR,1,34,0,41.5,40.5,30.0,30,15.0,30,1,0,0,7.5,2.0,4.4
131,21263,Trenton Irwin,CIN,WR,2,34,0,20.4,17.4,17.0,85,12.1,43,5,1,1,8.0,2.3,1.1
132,21601,Gunner Olszewski,NE,WR,2,31,0,5.3,6.3,9.7,29,1.8,15,3,0,0,10.0,0.6,2.0
133,18928,Curtis Samuel,WAS,WR,6,27,0,21.4,23.2,1.6,14,2.8,2,9,0,0,6.9,5.3,1.1
134,22620,Mike Strachan,IND,WR,2,26,0,18.1,17.0,18.0,54,10.8,27,3,0,0,6.7,1.8,1.5
135,19864,Anthony Miller,PIT,WR,6,25,1,62.2,55.3,8.1,97,32.3,16,12,1,1,5.8,14.3,1.2
136,22604,Tylan Wallace,BAL,WR,2,23,0,7.7,6.7,2.5,15,0.9,8,6,1,0,4.2,1.0,0.7
137,20939,David Sills,NYG,WR,2,17,0,34.2,37.8,7.0,42,10.5,21,6,0,0,4.6,5.2,0.6
138,21311,Davion Davis,HOU,WR,1,17,0,18.4,15.9,2.3,7,3.5,7,3,0,0,5.0,4.0,0.9
139,20071,Keith Kirkwood,CAR,WR,3,16,0,37.4,34.1,7.7,54,18.0,18,7,1,1,6.8,6.7,0.7
140,21071,Greg Dortch,ARI,WR,3,15,0,11.4,9.4,-4.0,-12,-2.4,-4,3,1,0,9.2,1.8,2.3
141,21169,Malik Taylor,GB,WR,2,14,0,3.5,4.1,9.0,27,2.7,14,3,2,0,8.3,0.9,0.5
142,20820,Andy Isabella,ARI,WR,1,13,0,6.2,4.7,7.0,7,0.9,7,1,0,0,7.5,0.3,2.3
143,21746,Tarik Black,NYJ,WR,1,10,0,0.0,0.0,0.0,0,0.0,0,2,0,0,0.0,10.5,1.0
144,22622,Racey McMath,TEN,WR,2,8,0,13.9,14.7,7.3,44,4.9,22,6,2,1,5.4,2.1,0.1
145,21037,Miles Boykin,BAL,WR,1,6,0,3.9,5.3,6.0,6,0.8,6,1,0,0,7.5,0.3,1.6
146,22645,Simi Fehoko,DAL,WR,0,0,0,0.0,1.2,0.0,0,0.0,,0,0,0,,0.0,0.0
147,7651,Matthew Slater,NE,WR,0,0,0,0.0,0.3,0.0,0,0.0,,0,0,0,,0.0,0.0
148,19120,David Moore,GB,WR,0,0,0,13.7,12.0,19.0,38,12.7,,2,0,0,3.8,1.8,0.0
149,19755,River Cracraft,SF,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
150,21294,Alex Bachman,NYG,WR,0,0,0,21.8,15.4,0.0,0,0.0,,0,0,0,,0.0,0.0
151,21295,Nsimba Webster,CHI,WR,0,0,0,0.0,0.3,0.0,0,0.0,,0,0,0,,0.0,0.0
152,21760,Isaiah Hodgins,BUF,WR,0,0,0,0.0,3.9,0.0,0,0.0,,0,0,0,,0.0,0.0
153,22635,Jalen Camp,HOU,WR,0,0,0,20.6,29.8,0.0,0,0.0,,0,0,0,,0.0,0.0
154,19922,Justin Watson,TB,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
155,19981,Daurice Fountain,KC,WR,0,0,0,0.0,1.5,0.0,0,0.0,,0,0,0,,0.0,0.0
156,20487,Brandon Powell,LAR,WR,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,,0.0,0.0
157,21400,Steven Sims,PIT,WR,0,0,0,0.0,4.9,0.0,0,0.0,,0,0,0,,0.0,0.0
158,21737,Tyrie Cleveland,DEN,WR,0,0,0,6.4,6.3,6.0,6,0.8,,1,1,0,7.5,0.4,0.0
159,21728,Lawrence Cager,CLE,WR,0,0,0,0.0,1.5,0.0,0,0.0,,0,0,0,,0.0,0.0
160,22602,Tutu Atwell,LAR,WR,0,0,0,0.0,1.6,0.0,0,0.0,,0,0,0,,0.0,0.0
161,14141,Cole Beasley,BUF,WR,,,,,,,,,,,,,,,
162,18977,Kenny Golladay,NYG,WR,,,,,,,,,,,,,,,
163,19811,Marcell Ateman,LV,WR,,,,,,,,,,,,,,,
164,20684,Malik Turner,DAL,WR,,,,,,,,,,,,,,,
165,19514,Keelan Cole Sr.,NYJ,WR,,,,,,,,,,,,,,,
166,18879,Corey Davis,NYJ,WR,,,,,,,,,,,,,,,
167,19280,Cody Hollister,TEN,WR,,,,,,,,,,,,,,,
168,20793,Penny Hart,SEA,WR,,,,,,,,,,,,,,,
169,19200,C.J. Board,NYG,WR,,,,,,,,,,,,,,,
170,20762,Travis Fulgham,DEN,WR,,,,,,,,,,,,,,,
171,20963,Cody Thompson,SEA,WR,,,,,,,,,,,,,,,
172,18992,Dede Westbrook,MIN,WR,,,,,,,,,,,,,,,
173,17290,Adam Humphries,WAS,WR,,,,,,,,,,,,,,,
174,20224,Christian Blake,ATL,WR,,,,,,,,,,,,,,,
175,17289,Jake Kumerow,BUF,WR,,,,,,,,,,,,,,,
176,17141,Damiere Byrd,CHI,WR,,,,,,,,,,,,,,,
177,18896,Cyril Grayson Jr.,TB,WR,,,,,,,,,,,,,,,
178,17048,Tyrell Williams,DET,WR,,,,,,,,,,,,,,,
